episode,total_reward,coverage_pct,steps,total_collisions,terminated
3,215.49999999999997,1.0,251,0,True
4,-43.65000000000013,0.984375,500,13,False
5,-35.90000000000006,0.96875,500,1,False
6,165.04999999999998,1.0,456,15,True
7,-49.800000000000104,0.96875,500,14,False
8,194.9,1.0,341,6,True
9,-40.70000000000001,0.96875,500,9,False
10,-44.7500000000001,0.984375,500,9,False
11,155.2999999999999,1.0,476,5,True
12,215.39999999999992,1.0,252,2,True
13,-43.350000000000094,0.984375,500,4,False
14,-44.05000000000011,0.984375,500,9,False
15,206.99999999999997,1.0,286,4,True
16,189.50000000000003,1.0,321,1,True
17,-48.95000000000013,0.984375,500,1,False
18,-58.20000000000008,0.96875,500,6,False
19,193.39999999999998,1.0,289,7,True
20,191.19999999999993,1.0,336,5,True
21,143.49999999999994,1.0,487,6,True
22,197.9,1.0,279,16,True
23,213.8999999999999,1.0,266,0,True
24,-62.05000000000011,0.984375,500,0,False
25,172.39999999999998,1.0,398,0,True
26,227.39999999999998,1.0,165,1,True
27,-55.75000000000008,0.953125,500,3,False
28,202.7,1.0,257,0,True
29,186.6,1.0,359,2,True
30,192.7,1.0,317,0,True
31,217.0999999999999,1.0,246,1,True
32,-92.20000000000014,0.9375,500,12,False
33,-54.050000000000054,0.984375,500,4,False
34,-79.95000000000017,0.921875,500,8,False
35,158.6999999999999,1.0,456,1,True
36,189.8,1.0,287,1,True
37,149.99999999999994,1.0,431,20,True
38,-71.85000000000014,0.953125,500,13,False
39,-96.85000000000008,0.953125,500,21,False
40,-65.35000000000015,0.984375,500,12,False
41,-43.1500000000002,0.984375,500,4,False
42,-23.15000000000021,0.984375,500,7,False
43,-56.45000000000012,0.984375,500,2,False
44,-32.55000000000007,0.984375,500,5,False
45,-64.35000000000014,0.953125,500,3,False
46,188.29999999999998,1.0,352,9,True
47,184.7,1.0,340,1,True
48,-65.95000000000006,0.984375,500,5,False
49,-40.45000000000009,0.984375,500,0,False
50,-38.750000000000036,0.984375,500,1,False
51,-79.80000000000003,0.96875,500,7,False
52,-82.64999999999999,0.984375,500,33,False
53,-80.45000000000006,0.921875,500,0,False
54,200.79999999999998,1.0,307,0,True
55,213.4999999999999,1.0,255,2,True
56,224.29999999999984,1.0,243,2,True
57,-34.05000000000019,0.984375,500,3,False
58,-32.150000000000105,0.984375,500,4,False
59,-76.10000000000002,0.96875,500,10,False
60,-35.95000000000003,0.953125,500,9,False
61,-65.70000000000007,0.84375,500,22,False
62,-39.750000000000085,0.984375,500,21,False
63,-64.75000000000007,0.984375,500,10,False
64,-11.150000000000222,0.984375,500,13,False
65,203.19999999999987,1.0,331,0,True
66,174.19999999999987,1.0,323,13,True
67,-23.350000000000154,0.921875,500,1,False
68,-22.750000000000163,0.984375,500,7,False
69,-30.150000000000105,0.953125,500,0,False
70,-13.700000000000164,0.96875,500,5,False
71,203.89999999999995,1.0,315,1,True
72,-30.350000000000044,0.984375,500,8,False
73,-18.400000000000134,0.9375,500,12,False
74,-15.000000000000169,0.96875,500,20,False
75,-59.00000000000007,0.875,500,1,False
76,202.89999999999975,1.0,443,2,True
77,-94.94999999999948,0.921875,500,10,False
78,-7.650000000000246,0.953125,500,4,False
79,-27.800000000000196,0.9375,500,0,False
80,-25.400000000000215,0.96875,500,3,False
81,-16.050000000000118,0.984375,500,17,False
82,-17.25,0.921875,500,2,False
83,-10.350000000000236,0.984375,500,7,False
84,-5.050000000000274,0.921875,500,8,False
85,-61.75000000000032,0.921875,500,0,False
86,-45.55000000000029,0.828125,500,3,False
87,-16.000000000000096,0.875,500,6,False
88,-0.15000000000034977,0.921875,500,5,False
89,-30.100000000000062,0.84375,500,0,False
90,-11.450000000000173,0.859375,500,12,False
91,-59.05000000000022,0.953125,500,0,False
92,-11.20000000000021,0.8125,500,11,False
93,-52.200000000000394,0.9375,500,43,False
94,-98.5499999999993,0.859375,500,10,False
95,-45.599999999999895,0.84375,500,19,False
96,-5.350000000000298,0.859375,500,9,False
97,-20.600000000000097,0.8125,500,13,False
98,-13.950000000000271,0.859375,500,24,False
99,-9.850000000000218,0.734375,500,8,False
100,-5.200000000000256,0.8125,500,0,False
101,2.449999999999698,0.890625,500,5,False
102,-12.900000000000198,0.875,500,21,False
103,-27.350000000000342,0.828125,500,0,False
104,-51.45000000000023,0.671875,500,0,False
105,-13.649999999999881,0.859375,500,0,False
106,-15.949999999999909,0.734375,500,6,False
107,3.249999999999636,0.921875,500,1,False
108,-64.30000000000044,0.8125,500,20,False
109,-28.500000000000245,0.84375,500,2,False
110,-61.70000000000028,0.734375,500,115,False
111,-16.000000000000192,0.65625,500,11,False
112,-54.35000000000019,0.734375,500,1,False
113,-16.29999999999993,0.875,500,0,False
114,-7.80000000000031,0.8125,500,19,False
115,-80.24999999999939,0.546875,500,0,False
116,-42.150000000000546,0.828125,500,87,False
117,-13.800000000000123,0.84375,500,10,False
118,-21.800000000000157,0.65625,500,0,False
119,-5.100000000000179,0.71875,500,1,False
120,-7.300000000000208,0.75,500,8,False
121,-15.650000000000066,0.703125,500,13,False
122,-30.55000000000016,0.609375,500,0,False
123,-19.399999999999945,0.671875,500,4,False
124,-24.750000000000195,0.578125,500,8,False
125,-88.8499999999998,0.671875,500,0,False
126,-35.15000000000045,0.796875,500,0,False
127,-22.50000000000002,0.8125,500,8,False
128,-15.299999999999871,0.625,500,0,False
129,-11.500000000000178,0.65625,500,3,False
130,-15.100000000000044,0.65625,500,0,False
131,-20.150000000000034,0.734375,500,8,False
132,-9.600000000000243,0.65625,500,0,False
