episode,total_reward,coverage_pct,steps,total_collisions,terminated
1,222.99999999999997,1.0,206,3,True
2,194.7,1.0,347,2,True
3,-41.45000000000008,0.984375,500,9,False
4,-50.150000000000105,0.984375,500,15,False
5,-47.15000000000014,0.984375,500,10,False
6,-36.65000000000007,0.953125,500,10,False
7,170.49999999999991,1.0,485,6,True
8,-30.25000000000002,0.984375,500,12,False
9,-34.35000000000006,0.921875,500,18,False
10,198.0,1.0,331,6,True
11,-41.550000000000075,0.984375,500,6,False
12,-30.15000000000005,0.984375,500,5,False
13,159.0999999999999,1.0,476,8,True
14,178.99999999999991,1.0,406,10,True
15,207.59999999999994,1.0,278,5,True
16,212.7999999999999,1.0,294,1,True
17,-35.05000000000004,0.984375,500,5,False
18,-37.25000000000014,0.984375,500,12,False
19,172.39999999999995,1.0,473,6,True
20,182.6,1.0,373,15,True
21,190.80000000000004,1.0,367,1,True
22,190.39999999999998,1.0,358,13,True
23,186.10000000000002,1.0,389,4,True
24,183.50000000000003,1.0,347,14,True
25,208.69999999999996,1.0,288,2,True
26,207.89999999999998,1.0,315,0,True
27,180.29999999999995,1.0,433,8,True
28,190.1,1.0,392,1,True
29,165.69999999999993,1.0,490,7,True
30,207.89999999999995,1.0,281,3,True
31,217.49999999999994,1.0,221,7,True
32,193.49999999999994,1.0,407,6,True
33,217.49999999999997,1.0,227,2,True
34,-44.4500000000001,0.921875,500,10,False
35,190.99999999999997,1.0,369,3,True
36,205.2,1.0,270,2,True
37,180.69999999999996,1.0,440,4,True
38,181.59999999999994,1.0,406,6,True
39,203.0999999999999,1.0,297,13,True
40,168.09999999999994,1.0,478,3,True
41,-43.15000000000003,0.953125,500,4,False
42,202.2,1.0,312,3,True
43,183.99999999999997,1.0,416,5,True
44,-41.4500000000001,0.953125,500,4,False
45,201.74999999999991,1.0,332,7,True
46,202.89999999999998,1.0,315,3,True
47,177.09999999999988,1.0,433,9,True
48,200.09999999999994,1.0,321,7,True
49,-32.40000000000008,0.96875,500,3,False
50,171.5999999999999,1.0,469,14,True
51,-36.350000000000165,0.984375,500,5,False
52,194.49999999999997,1.0,357,5,True
53,-31.55000000000003,0.984375,500,7,False
54,-39.60000000000013,0.96875,500,9,False
55,178.79999999999998,1.0,386,6,True
56,218.99999999999994,1.0,217,2,True
57,185.7,1.0,326,10,True
58,227.59999999999994,1.0,190,2,True
59,176.49999999999991,1.0,469,14,True
60,212.74999999999986,1.0,288,2,True
61,-43.350000000000115,0.984375,500,15,False
62,175.79999999999998,1.0,431,3,True
63,227.79999999999993,1.0,204,1,True
64,196.79999999999995,1.0,353,1,True
65,214.99999999999994,1.0,243,1,True
66,185.2,1.0,369,7,True
67,209.5999999999999,1.0,298,2,True
68,-48.70000000000013,0.9375,500,17,False
69,205.19999999999996,1.0,299,2,True
70,191.54999999999995,1.0,394,5,True
71,209.89999999999998,1.0,258,1,True
72,-37.95000000000005,0.984375,500,9,False
73,-33.90000000000011,0.9375,500,4,False
74,207.29999999999995,1.0,291,2,True
75,186.89999999999995,1.0,399,4,True
76,-41.7500000000001,0.984375,500,6,False
77,188.5,1.0,332,11,True
78,192.39999999999992,1.0,366,8,True
79,207.19999999999987,1.0,315,0,True
80,228.89999999999998,1.0,178,1,True
81,212.0999999999999,1.0,259,3,True
82,210.19999999999993,1.0,273,2,True
83,198.49999999999997,1.0,325,6,True
84,203.09999999999994,1.0,282,1,True
85,-33.450000000000074,0.984375,500,9,False
86,215.09999999999997,1.0,257,6,True
87,-45.000000000000114,0.96875,500,10,False
88,212.29999999999995,1.0,284,5,True
89,196.29999999999995,1.0,370,6,True
90,198.6999999999999,1.0,347,6,True
91,175.79999999999998,1.0,435,4,True
92,194.3,1.0,361,3,True
93,219.69999999999993,1.0,229,1,True
94,-36.4500000000001,0.984375,500,4,False
95,-39.2500000000001,0.984375,500,6,False
96,189.4,1.0,361,2,True
97,222.19999999999996,1.0,204,4,True
98,203.19999999999996,1.0,267,1,True
99,181.90000000000003,1.0,370,0,True
100,196.69999999999993,1.0,361,5,True
101,168.30000000000007,1.0,470,5,True
102,188.99999999999997,1.0,367,1,True
103,193.89999999999998,1.0,367,6,True
104,221.79999999999993,1.0,232,1,True
105,208.19999999999993,1.0,273,5,True
106,192.39999999999995,1.0,354,14,True
107,173.69999999999987,1.0,492,3,True
108,198.40000000000003,1.0,335,1,True
109,192.89999999999992,1.0,400,6,True
110,-33.80000000000009,0.96875,500,9,False
111,176.5999999999999,1.0,469,11,True
112,169.89999999999995,1.0,490,5,True
113,-33.150000000000055,0.953125,500,10,False
114,186.79999999999995,1.0,391,2,True
115,224.29999999999998,1.0,177,8,True
116,211.1999999999999,1.0,277,1,True
117,209.6999999999999,1.0,290,4,True
118,-49.25000000000012,0.984375,500,14,False
119,198.89999999999995,1.0,315,2,True
120,214.69999999999996,1.0,231,2,True
121,-34.55000000000013,0.984375,500,4,False
122,196.49999999999991,1.0,333,15,True
123,190.79999999999998,1.0,342,7,True
124,215.69999999999993,1.0,233,5,True
125,-38.25000000000012,0.984375,500,12,False
126,175.7999999999999,1.0,472,8,True
127,217.89999999999995,1.0,226,2,True
128,201.1999999999999,1.0,325,2,True
129,-39.65000000000013,0.984375,500,6,False
130,199.59999999999994,1.0,350,3,True
131,-35.150000000000055,0.984375,500,9,False
132,207.89999999999995,1.0,265,11,True
133,192.4999999999999,1.0,354,1,True
134,179.49999999999991,1.0,440,19,True
135,186.9,1.0,359,1,True
136,224.59999999999994,1.0,216,1,True
137,-42.15000000000013,0.984375,500,9,False
138,-31.800000000000097,0.96875,500,5,False
139,165.0999999999999,1.0,475,6,True
140,212.79999999999993,1.0,251,7,True
141,212.49999999999991,1.0,277,9,True
142,211.09999999999985,1.0,309,2,True
143,162.69999999999987,1.0,475,14,True
144,200.69999999999993,1.0,334,3,True
145,180.89999999999995,1.0,398,8,True
146,202.7,1.0,278,8,True
147,-58.15000000000016,0.984375,500,15,False
148,196.89999999999992,1.0,349,1,True
149,214.99999999999994,1.0,231,0,True
150,-30.700000000000102,0.96875,500,7,False
151,-35.850000000000094,0.984375,500,10,False
152,184.69999999999993,1.0,409,5,True
153,-44.05000000000016,0.984375,500,15,False
154,-36.650000000000084,0.984375,500,14,False
155,186.99999999999983,1.0,391,0,True
156,207.59999999999997,1.0,279,0,True
157,190.99999999999991,1.0,368,2,True
158,193.19999999999996,1.0,387,1,True
159,205.6999999999999,1.0,290,1,True
160,188.69999999999993,1.0,390,2,True
161,203.79999999999993,1.0,303,4,True
162,214.49999999999994,1.0,245,2,True
163,178.99999999999997,1.0,464,5,True
164,192.49999999999994,1.0,374,0,True
165,216.0999999999999,1.0,266,2,True
166,-42.35000000000013,0.984375,500,11,False
167,214.99999999999994,1.0,243,0,True
168,-30.250000000000114,0.984375,500,3,False
169,205.8999999999999,1.0,340,0,True
170,211.99999999999991,1.0,258,2,True
171,207.29999999999993,1.0,269,2,True
172,207.19999999999993,1.0,302,0,True
173,176.69999999999993,1.0,423,1,True
174,206.0999999999999,1.0,300,0,True
175,196.9999999999999,1.0,381,3,True
176,211.39999999999995,1.0,276,1,True
177,215.39999999999992,1.0,268,2,True
178,198.59999999999997,1.0,341,5,True
179,205.79999999999998,1.0,280,1,True
