episode,total_reward,coverage_pct,steps,total_collisions,terminated
1,-64.55000000000024,0.859375,500,18,False
2,-37.650000000000006,0.984375,500,8,False
3,204.85,1.0,292,5,True
4,-41.40000000000005,0.96875,500,7,False
5,-48.15000000000011,0.953125,500,13,False
6,-31.900000000000002,0.96875,500,4,False
7,201.19999999999993,1.0,317,5,True
8,218.29999999999998,1.0,211,2,True
9,214.1,1.0,237,2,True
10,209.39999999999995,1.0,272,0,True
11,167.4,1.0,422,9,True
12,181.1999999999999,1.0,401,9,True
13,177.89999999999998,1.0,412,2,True
14,201.99999999999997,1.0,282,0,True
15,211.19999999999993,1.0,258,0,True
16,-30.95000000000016,0.984375,500,2,False
17,-47.40000000000013,0.96875,500,8,False
18,187.0,1.0,361,8,True
19,202.99999999999991,1.0,304,2,True
20,189.19999999999987,1.0,386,8,True
21,204.79999999999987,1.0,326,6,True
22,206.29999999999998,1.0,275,3,True
23,204.29999999999995,1.0,270,3,True
24,223.1999999999999,1.0,210,2,True
25,209.79999999999993,1.0,264,1,True
26,178.49999999999991,1.0,402,2,True
27,189.39999999999998,1.0,348,6,True
28,-38.65000000000005,0.953125,500,5,False
29,-49.75000000000012,0.984375,500,5,False
30,220.49999999999991,1.0,232,6,True
31,184.89999999999998,1.0,350,4,True
32,231.89999999999998,1.0,185,2,True
33,-48.15000000000012,0.984375,500,0,False
34,-66.75000000000007,0.984375,500,21,False
35,-61.70000000000015,0.90625,500,10,False
36,-78.25000000000007,0.984375,500,22,False
37,-53.65000000000012,0.890625,500,7,False
38,-69.20000000000009,0.9375,500,21,False
39,-80.20000000000005,0.96875,500,22,False
40,-74.65000000000012,0.984375,500,6,False
41,-85.65000000000016,0.953125,500,21,False
42,-62.65000000000014,0.953125,500,3,False
43,-109.55000000000015,0.953125,500,5,False
44,-79.80000000000004,0.90625,500,15,False
45,-77.75000000000009,0.984375,500,3,False
46,146.89999999999995,1.0,446,10,True
47,-95.2000000000002,0.9375,500,20,False
48,-74.95000000000007,0.921875,500,11,False
49,-138.00000000000026,0.875,500,55,False
50,-94.5000000000001,0.90625,500,24,False
51,15.25,0.21875,501,0,False
52,-66.85000000000011,0.984375,500,7,False
53,-80.80000000000007,0.96875,500,15,False
54,-77.10000000000008,0.96875,500,6,False
55,-79.15000000000005,0.921875,500,5,False
56,-75.90000000000008,0.9375,500,2,False
57,-72.90000000000006,0.9375,500,13,False
58,-68.30000000000004,0.96875,500,7,False
59,-58.50000000000015,0.9375,500,1,False
60,-80.0500000000001,0.890625,500,1,False
61,-68.0500000000001,0.921875,500,0,False
62,-71.05000000000008,0.953125,500,3,False
63,-66.50000000000007,0.96875,500,3,False
64,-60.85000000000013,0.953125,500,1,False
65,-45.05000000000015,0.984375,500,2,False
66,-40.10000000000015,0.96875,500,1,False
67,-45.95000000000016,0.953125,500,3,False
68,208.39999999999998,1.0,239,3,True
69,227.39999999999986,1.0,210,6,True
70,181.69999999999987,1.0,455,3,True
71,210.49999999999991,1.0,286,0,True
72,170.39999999999995,1.0,428,8,True
73,202.19999999999996,1.0,280,0,True
74,183.0999999999999,1.0,387,0,True
75,215.19999999999993,1.0,238,1,True
76,-45.65000000000011,0.984375,500,2,False
77,194.8999999999999,1.0,364,1,True
78,211.79999999999998,1.0,228,1,True
79,165.59999999999994,1.0,412,0,True
80,182.5,1.0,311,0,True
81,203.5,1.0,255,2,True
82,234.89999999999992,1.0,156,1,True
83,200.99999999999991,1.0,294,5,True
84,213.4999999999999,1.0,269,0,True
85,187.79999999999993,1.0,339,0,True
86,218.79999999999993,1.0,198,5,True
87,212.39999999999992,1.0,260,0,True
88,202.39999999999995,1.0,281,5,True
89,235.59999999999994,1.0,138,3,True
90,187.0,1.0,350,6,True
91,207.19999999999996,1.0,261,2,True
92,-30.75000000000009,0.984375,500,7,False
93,216.6999999999999,1.0,248,0,True
94,195.89999999999992,1.0,319,2,True
95,-56.75000000000015,0.984375,500,8,False
96,173.5999999999999,1.0,476,4,True
97,-51.20000000000015,0.96875,500,7,False
