episode,total_reward,coverage_pct,steps,total_collisions,terminated
1,177.59999999999997,1.0,400,5,True
2,177.39999999999998,1.0,429,5,True
3,-37.350000000000094,0.984375,500,8,False
4,202.10000000000002,1.0,311,4,True
5,180.39999999999998,1.0,418,7,True
6,-42.200000000000045,0.96875,500,10,False
7,-37.55000000000007,0.953125,500,8,False
8,181.89999999999992,1.0,421,4,True
9,-46.050000000000146,0.984375,500,6,False
10,-47.75000000000007,0.984375,500,13,False
11,-47.900000000000105,0.875,500,8,False
12,-32.500000000000064,0.96875,500,2,False
13,191.89999999999998,1.0,368,5,True
14,178.89999999999998,1.0,419,8,True
15,-37.65000000000012,0.984375,500,17,False
16,184.8,1.0,367,3,True
17,210.5999999999999,1.0,267,2,True
18,-41.35000000000011,0.984375,500,11,False
19,208.79999999999993,1.0,273,2,True
20,-38.95000000000012,0.984375,500,6,False
21,-49.05000000000011,0.953125,500,22,False
22,200.19999999999996,1.0,313,6,True
23,-40.05000000000012,0.984375,500,7,False
24,182.89999999999995,1.0,418,3,True
25,180.09999999999994,1.0,367,9,True
26,-41.40000000000011,0.96875,500,10,False
27,222.09999999999994,1.0,224,1,True
28,-50.10000000000023,0.875,500,11,False
29,179.39999999999998,1.0,443,8,True
30,164.39999999999992,1.0,491,8,True
31,202.39999999999998,1.0,295,8,True
32,207.89999999999995,1.0,284,1,True
33,168.69999999999993,1.0,443,13,True
34,-41.10000000000009,0.96875,500,9,False
35,212.20000000000002,1.0,286,2,True
36,-47.35000000000008,0.921875,500,12,False
37,197.39999999999995,1.0,339,4,True
38,186.59999999999997,1.0,358,6,True
39,182.09999999999994,1.0,426,2,True
40,-36.65000000000004,0.984375,500,12,False
41,-43.35000000000009,0.984375,500,15,False
42,194.99999999999991,1.0,324,16,True
43,-47.650000000000134,0.921875,500,18,False
44,-34.15000000000011,0.984375,500,12,False
45,210.99999999999991,1.0,281,2,True
46,-38.65000000000004,0.984375,500,15,False
47,-44.3500000000001,0.984375,500,12,False
48,-42.200000000000124,0.96875,500,9,False
49,195.09999999999997,1.0,282,10,True
50,185.49999999999997,1.0,380,7,True
51,220.59999999999985,1.0,240,3,True
52,165.29999999999993,1.0,500,9,True
53,-36.8500000000001,0.984375,500,5,False
54,180.79999999999998,1.0,373,2,True
55,202.6,1.0,277,9,True
56,194.7,1.0,330,8,True
57,177.09999999999997,1.0,433,1,True
58,188.20000000000002,1.0,342,6,True
59,-37.15000000000013,0.953125,500,6,False
60,-38.90000000000009,0.96875,500,11,False
61,219.29999999999995,1.0,216,0,True
62,181.2999999999999,1.0,428,1,True
63,202.49999999999997,1.0,249,5,True
64,199.64999999999998,1.0,314,1,True
65,189.39999999999995,1.0,383,11,True
66,174.8999999999999,1.0,466,1,True
67,193.3999999999999,1.0,343,6,True
68,186.5999999999999,1.0,387,1,True
